S_MW,W_MW,Baseload_MW,DailyAvgProd_MW,DailyErrorPct
30.0,140.0,160767.38845477946,41591.24593150684,-0.7412955056914071
30.0,145.0,160735.96303451626,41676.60115667808,-0.7407138989317003
30.0,150.0,160704.77366259397,41761.95638184931,-0.7401324464105206
30.0,155.0,160674.12636185775,41847.31160702055,-0.7395516468359361
30.0,160.0,160643.7283674777,41932.66683219178,-0.7389710307502982
30.0,165.0,160613.36738508672,42018.022057363014,-0.7383902551733408
30.0,170.0,160583.0064026899,42103.377282534246,-0.7378092599851277
30.0,175.0,160552.9118113034,42188.73250770547,-0.7372284810549586
30.0,180.0,160522.9378392861,42274.08773287671,-0.736647682244633
30.0,185.0,160492.98725606088,42359.442958047955,-0.73606670495537
30.0,190.0,160463.11247324798,42444.79818321917,-0.7354856357388962
30.0,195.0,160433.36746410173,42530.15340839041,-0.7349045645513432
30.0,200.0,160403.6610381235,42615.508633561636,-0.7343233417631714
35.0,0.0,188721.85762499878,45734.849564497716,-0.7576600286789488
35.0,5.0,188683.09264563431,45820.204789668955,-0.7571578664140094
35.0,10.0,188644.65875950694,45905.56001484018,-0.7566559248657936
35.0,15.0,188606.39357496687,45990.91524001142,-0.7561539968594382
35.0,20.0,188568.5014512817,46076.27046518264,-0.7556523485599909
35.0,25.0,188531.01407715934,46161.62569035388,-0.7551510242688161
35.0,30.0,188493.87395956425,46246.980915525106,-0.7546499525738114
35.0,35.0,188456.73384197842,46332.336140696345,-0.7541486833813742
35.0,40.0,188419.62996433547,46417.691365867584,-0.7536472639572976
35.0,45.0,188382.64359899686,46503.04659103881,-0.7531458010004991
35.0,50.0,188346.103162201,46588.40181621004,-0.7526447267343314
35.0,55.0,188309.68699699087,46673.75704138127,-0.7521436215752029
35.0,60.0,188273.4631477243,46759.11226655252,-0.7516425762569413
35.0,65.0,188237.35666522186,46844.46749172375,-0.7511414932635495
35.0,70.0,188201.3206542049,46929.822716894974,-0.7506403113763356
35.0,75.0,188165.433518977,47015.177942066206,-0.7501391352130328
35.0,80.0,188129.67180493064,47100.533167237445,-0.7496379347534534
35.0,85.0,188093.9354498016,47185.88839240868,-0.7491365775320193
35.0,90.0,188058.28770080165,47271.24361757991,-0.7486351482004991
35.0,95.0,188022.63995179467,47356.59884275113,-0.748133528734133
35.0,100.0,187987.17113593718,47441.95406792237,-0.7476319592382388
35.0,105.0,187952.0247870855,47527.30929309361,-0.7471306342832266
35.0,110.0,187916.9285986747,47612.66451826484,-0.7466291894332258
35.0,115.0,187881.95017163144,47698.019743436074,-0.7461277163673061
35.0,120.0,187847.34027338968,47783.3749686073,-0.7456265555899582
35.0,125.0,187813.1397700695,47868.730193778545,-0.7451257656818798
35.0,130.0,187779.37068634937,47954.08541894977,-0.7446253800741074
35.0,135.0,187745.90659784118,48039.440644121,-0.7441252301333883
35.0,140.0,187712.66046923626,48124.79586929223,-0.7436251995523804
35.0,145.0,187679.80728976085,48210.151094463465,-0.7431255296419219
35.0,150.0,187647.32342522359,48295.506319634704,-0.7426261913142599
35.0,155.0,187614.96039188013,48380.86154480593,-0.7421268461547492
35.0,160.0,187582.9998568609,48466.21676997717,-0.7416278830866319
